year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2003,1,2003-01-02,2003-12-31,2003-01-02 | 2003-12-30,,2003-12-29,1.0,0.0,5,AMD | FBF | LU | NOVL | PMCS,AMD:0.2000000000 | FBF:0.2000000000 | LU:0.2000000000 | NOVL:0.2000000000 | PMCS:0.2000000000,2003-12-24,446
2003,2,2003-01-06,2003-01-10,2003-01-09,,2003-01-08,0.5,0.5,5,GLW | LU | PCS | PWER | T,GLW:0.1000000000 | LU:0.1000000000 | PCS:0.1000000000 | PWER:0.1000000000 | T:0.1000000000,2003-01-08,444
2003,16,2003-04-14,2003-04-17,2003-04-14,,2003-04-11,0.5,0.5,5,DYN | GLW | MSI | SBL | WMB,DYN:0.1000000000 | GLW:0.1000000000 | MSI:0.1000000000 | SBL:0.1000000000 | WMB:0.1000000000,2003-04-17,446
2003,17,2003-04-21,2003-04-25,2003-04-22,,2003-04-21,0.5,0.5,5,GLW | LLTC | MSI | NSM | NVDA,GLW:0.1000000000 | LLTC:0.1000000000 | MSI:0.1000000000 | NSM:0.1000000000 | NVDA:0.1000000000,2003-04-25,446
2003,18,2003-04-28,2003-05-02,2003-04-29,,2003-04-28,0.5,0.5,5,GLW | LLTC | MSI | NSM | NVDA,GLW:0.1000000000 | LLTC:0.1000000000 | MSI:0.1000000000 | NSM:0.1000000000 | NVDA:0.1000000000,2003-04-28,446
2003,19,2003-05-05,2003-05-09,2003-05-06,,2003-05-05,0.5,0.5,5,DYN | GLW | MSI | NSM | NVDA,DYN:0.1000000000 | GLW:0.1000000000 | MSI:0.1000000000 | NSM:0.1000000000 | NVDA:0.1000000000,2003-05-08,446
2003,20,2003-05-12,2003-05-16,2003-05-13,,2003-05-12,0.5,0.5,5,DYN | MSI | NSM | NVDA | WMB,DYN:0.1000000000 | MSI:0.1000000000 | NSM:0.1000000000 | NVDA:0.1000000000 | WMB:0.1000000000,2003-05-16,446
2003,21,2003-05-19,2003-05-23,2003-05-20,,2003-05-19,0.5,0.5,5,AES | DYN | EP | MSI | WMB,AES:0.1000000000 | DYN:0.1000000000 | EP:0.1000000000 | MSI:0.1000000000 | WMB:0.1000000000,2003-05-16,446
2003,22,2003-05-27,2003-05-30,2003-05-28,,2003-05-27,0.5,0.5,5,AES | DYN | EP | MIR | WMB,AES:0.1000000000 | DYN:0.1000000000 | EP:0.1000000000 | MIR:0.1000000000 | WMB:0.1000000000,2003-05-29,446
2003,23,2003-06-02,2003-06-06,2003-06-04,,2003-06-03,0.5,0.5,5,AES | DYN | EP | MIR | WMB,AES:0.1000000000 | DYN:0.1000000000 | EP:0.1000000000 | MIR:0.1000000000 | WMB:0.1000000000,2003-06-06,446
2003,24,2003-06-09,2003-06-13,2003-06-11,,2003-06-10,0.5,0.5,5,AES | AV | DYN | MIR | WMB,AES:0.1000000000 | AV:0.1000000000 | DYN:0.1000000000 | MIR:0.1000000000 | WMB:0.1000000000,2003-06-06,446
2003,25,2003-06-16,2003-06-20,2003-06-18,,2003-06-17,0.5,0.5,5,AES | AV | DYN | MIR | WMB,AES:0.1000000000 | AV:0.1000000000 | DYN:0.1000000000 | MIR:0.1000000000 | WMB:0.1000000000,2003-06-18,446
2003,26,2003-06-23,2003-06-27,2003-06-25,,2003-06-24,1.0,0.0,5,AES | AV | DYN | MIR | WMB,AES:0.2000000000 | AV:0.2000000000 | DYN:0.2000000000 | MIR:0.2000000000 | WMB:0.2000000000,2003-06-26,446
2003,27,2003-06-30,2003-07-03,2003-07-02,,2003-07-01,1.0,0.0,5,AES | ATI | AV | DYN | MIR,AES:0.2000000000 | ATI:0.2000000000 | AV:0.2000000000 | DYN:0.2000000000 | MIR:0.2000000000,2003-06-26,446
2003,28,2003-07-07,2003-07-11,2003-07-10,,2003-07-09,1.0,0.0,5,AES | ATI | AV | DYN | MDR,AES:0.2000000000 | ATI:0.2000000000 | AV:0.2000000000 | DYN:0.2000000000 | MDR:0.2000000000,2003-07-09,446
2003,29,2003-07-14,2003-07-18,2003-07-17,,2003-07-16,1.0,0.0,5,AES | ATI | AV | BRCM | MDR,AES:0.2000000000 | ATI:0.2000000000 | AV:0.2000000000 | BRCM:0.2000000000 | MDR:0.2000000000,2003-07-18,446
2003,30,2003-07-21,2003-07-25,2003-07-24,,2003-07-23,1.0,0.0,5,ATI | AV | MDR | NVDA | PMCS,ATI:0.2000000000 | AV:0.2000000000 | MDR:0.2000000000 | NVDA:0.2000000000 | PMCS:0.2000000000,2003-07-21,446
2003,31,2003-07-28,2003-08-01,2003-07-31,,2003-07-30,1.0,0.0,5,ATI | AV | MDR | NVDA | PMCS,ATI:0.2000000000 | AV:0.2000000000 | MDR:0.2000000000 | NVDA:0.2000000000 | PMCS:0.2000000000,2003-07-29,445
2003,32,2003-08-04,2003-08-08,2003-08-07,,2003-08-06,1.0,0.0,5,AV | BRCM | MDR | NVDA | PMCS,AV:0.2000000000 | BRCM:0.2000000000 | MDR:0.2000000000 | NVDA:0.2000000000 | PMCS:0.2000000000,2003-08-06,445
2003,33,2003-08-11,2003-08-15,2003-08-14,,2003-08-13,1.0,0.0,5,ATI | BRCM | PCS | PMCS | SLR,ATI:0.2000000000 | BRCM:0.2000000000 | PCS:0.2000000000 | PMCS:0.2000000000 | SLR:0.2000000000,2003-08-06,445
2003,34,2003-08-18,2003-08-22,2003-08-21,,2003-08-20,1.0,0.0,5,LSI | OMX | PCS | PWER | SLR,LSI:0.2000000000 | OMX:0.2000000000 | PCS:0.2000000000 | PWER:0.2000000000 | SLR:0.2000000000,2003-08-22,445
2003,35,2003-08-25,2003-08-29,2003-08-28,,2003-08-27,1.0,0.0,5,LSI | OMX | PCS | PWER | SLR,LSI:0.2000000000 | OMX:0.2000000000 | PCS:0.2000000000 | PWER:0.2000000000 | SLR:0.2000000000,2003-08-26,445
2003,36,2003-09-02,2003-09-05,2003-09-05,,2003-09-04,1.0,0.0,5,GTW | LSI | OMX | PWER | SLR,GTW:0.2000000000 | LSI:0.2000000000 | OMX:0.2000000000 | PWER:0.2000000000 | SLR:0.2000000000,2003-08-26,445
2003,37,2003-09-08,2003-09-12,2003-09-12,,2003-09-11,1.0,0.0,5,AV | GTW | LSI | OMX | PWER,AV:0.2000000000 | GTW:0.2000000000 | LSI:0.2000000000 | OMX:0.2000000000 | PWER:0.2000000000,2003-09-12,445
2003,38,2003-09-15,2003-09-19,2003-09-19,,2003-09-18,1.0,0.0,5,AV | GTW | LSI | OMX | PWER,AV:0.2000000000 | GTW:0.2000000000 | LSI:0.2000000000 | OMX:0.2000000000 | PWER:0.2000000000,2003-09-16,445
2003,39,2003-09-22,2003-09-26,2003-09-26,,2003-09-25,1.0,0.0,5,AV | GTW | LSI | OMX | PWER,AV:0.2000000000 | GTW:0.2000000000 | LSI:0.2000000000 | OMX:0.2000000000 | PWER:0.2000000000,2003-09-26,445
2003,40,2003-09-29,2003-10-03,2003-10-03,,2003-10-02,1.0,0.0,5,AV | GTW | LSI | PWER | SLR,AV:0.2000000000 | GTW:0.2000000000 | LSI:0.2000000000 | PWER:0.2000000000 | SLR:0.2000000000,2003-10-03,445
2003,41,2003-10-06,2003-10-10,2003-10-10,,2003-10-09,1.0,0.0,5,AV | GT | GTW | MS | SLR,AV:0.2000000000 | GT:0.2000000000 | GTW:0.2000000000 | MS:0.2000000000 | SLR:0.2000000000,2003-10-06,445
2003,42,2003-10-13,2003-10-17,2003-10-17,,2003-10-16,1.0,0.0,5,AV | GT | GTW | MS | NSM,AV:0.2000000000 | GT:0.2000000000 | GTW:0.2000000000 | MS:0.2000000000 | NSM:0.2000000000,2003-10-16,446
2003,43,2003-10-20,2003-10-24,2003-10-24,,2003-10-23,1.0,0.0,5,GT | GTW | MS | NEM | NSM,GT:0.2000000000 | GTW:0.2000000000 | MS:0.2000000000 | NEM:0.2000000000 | NSM:0.2000000000,2003-10-24,446
2003,44,2003-10-27,2003-10-31,2003-10-31,,2003-10-30,1.0,0.0,5,AMD | MS | MSI | NOVL | NSM,AMD:0.2000000000 | MS:0.2000000000 | MSI:0.2000000000 | NOVL:0.2000000000 | NSM:0.2000000000,2003-10-24,446
2003,45,2003-11-03,2003-11-07,2003-11-07,,2003-11-06,1.0,0.0,5,AMD | MS | NOVL | NSM | PMCS,AMD:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NSM:0.2000000000 | PMCS:0.2000000000,2003-11-05,446
2003,46,2003-11-10,2003-11-14,2003-11-14,,2003-11-13,1.0,0.0,5,AMD | MS | NOVL | NSM | PMCS,AMD:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NSM:0.2000000000 | PMCS:0.2000000000,2003-11-14,446
2003,47,2003-11-17,2003-11-21,2003-11-21,,2003-11-20,1.0,0.0,5,AMD | MS | NOVL | NSM | PMCS,AMD:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NSM:0.2000000000 | PMCS:0.2000000000,2003-11-17,446
2003,48,2003-11-24,2003-11-28,,,2003-11-20,1.0,0.0,5,AMD | MS | NOVL | NSM | PMCS,AMD:0.2000000000 | MS:0.2000000000 | NOVL:0.2000000000 | NSM:0.2000000000 | PMCS:0.2000000000,2003-11-25,446
2003,49,2003-12-01,2003-12-05,2003-12-01,,2003-11-28,1.0,0.0,5,AMD | LU | MS | NSM | PMCS,AMD:0.2000000000 | LU:0.2000000000 | MS:0.2000000000 | NSM:0.2000000000 | PMCS:0.2000000000,2003-12-04,446
2003,50,2003-12-08,2003-12-12,2003-12-08,,2003-12-05,1.0,0.0,5,AMD | LU | MS | NSM | PMCS,AMD:0.2000000000 | LU:0.2000000000 | MS:0.2000000000 | NSM:0.2000000000 | PMCS:0.2000000000,2003-12-04,447
2003,51,2003-12-15,2003-12-19,2003-12-15,,2003-12-12,1.0,0.0,5,AMD | FBF | LU | NOVL | PMCS,AMD:0.2000000000 | FBF:0.2000000000 | LU:0.2000000000 | NOVL:0.2000000000 | PMCS:0.2000000000,2003-12-16,446
2003,52,2003-12-22,2003-12-26,2003-12-22,,2003-12-19,1.0,0.0,5,AMD | FBF | LU | NOVL | PMCS,AMD:0.2000000000 | FBF:0.2000000000 | LU:0.2000000000 | NOVL:0.2000000000 | PMCS:0.2000000000,2003-12-24,446
