year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2002,1,2002-01-02,2002-12-31,2002-01-04,,2002-12-23,0.5,0.5,5,GLW | NXTL | PCS | PWER | T,GLW:0.1000000000 | NXTL:0.1000000000 | PCS:0.1000000000 | PWER:0.1000000000 | T:0.1000000000,2002-12-30,443
2002,12,2002-03-18,2002-03-22,2002-03-19,,2002-03-18,1.0,0.0,5,MU | OMX | PVN | SEBL | TSG,MU:0.2000000000 | OMX:0.2000000000 | PVN:0.2000000000 | SEBL:0.2000000000 | TSG:0.2000000000,2002-03-21,436
2002,13,2002-03-25,2002-03-28,2002-03-26,,2002-03-25,0.5,0.5,5,HAL | LB | MDR | PVN | TRV,HAL:0.1000000000 | LB:0.1000000000 | MDR:0.1000000000 | PVN:0.1000000000 | TRV:0.1000000000,2002-03-28,436
2002,14,2002-04-01,2002-04-05,2002-04-03,,2002-04-02,0.5,0.5,5,HAL | KLAC | LB | PTC | TRW,HAL:0.1000000000 | KLAC:0.1000000000 | LB:0.1000000000 | PTC:0.1000000000 | TRW:0.1000000000,2002-04-01,436
2002,15,2002-04-08,2002-04-12,2002-04-10,,2002-04-09,0.5,0.5,5,HAL | KLAC | PTC | PVN | TRW,HAL:0.1000000000 | KLAC:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000 | TRW:0.1000000000,2002-04-11,436
2002,16,2002-04-15,2002-04-19,2002-04-17,,2002-04-16,1.0,0.0,5,HAL | LPX | OMX | PVN | TRW,HAL:0.2000000000 | LPX:0.2000000000 | OMX:0.2000000000 | PVN:0.2000000000 | TRW:0.2000000000,2002-04-19,436
2002,17,2002-04-22,2002-04-26,2002-04-24,,2002-04-23,0.5,0.5,5,HAL | NBR | OMX | PVN | TER,HAL:0.1000000000 | NBR:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | TER:0.1000000000,2002-04-19,436
2002,18,2002-04-29,2002-05-03,2002-05-01,,2002-04-30,0.5,0.5,5,MIR | NBR | OMX | PVN | TER,MIR:0.1000000000 | NBR:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | TER:0.1000000000,2002-05-01,437
2002,19,2002-05-06,2002-05-10,2002-05-08,,2002-05-07,0.5,0.5,5,MIR | MSI | OMX | PVN | WMB,MIR:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | WMB:0.1000000000,2002-05-10,437
2002,20,2002-05-13,2002-05-17,2002-05-15,,2002-05-14,0.5,0.5,5,CNC | MS | OMX | PVN | WMB,CNC:0.1000000000 | MS:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | WMB:0.1000000000,2002-05-16,439
2002,21,2002-05-20,2002-05-24,2002-05-22,,2002-05-21,0.5,0.5,5,AES | MIR | OMX | PVN | WMB,AES:0.1000000000 | MIR:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000 | WMB:0.1000000000,2002-05-21,439
2002,22,2002-05-28,2002-05-31,2002-05-30,,2002-05-29,0.5,0.5,5,AES | MIR | MS | OMX | PVN,AES:0.1000000000 | MIR:0.1000000000 | MS:0.1000000000 | OMX:0.1000000000 | PVN:0.1000000000,2002-05-30,439
2002,23,2002-06-03,2002-06-07,2002-06-06,,2002-06-05,0.5,0.5,5,AES | AM | MS | PTC | PVN,AES:0.1000000000 | AM:0.1000000000 | MS:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000,2002-05-30,439
2002,24,2002-06-10,2002-06-14,2002-06-13,,2002-06-12,0.5,0.5,5,AM | MS | MSI | PTC | PVN,AM:0.1000000000 | MS:0.1000000000 | MSI:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000,2002-06-11,439
2002,25,2002-06-17,2002-06-21,2002-06-20,,2002-06-19,0.5,0.5,5,AM | MS | MSI | PTC | PVN,AM:0.1000000000 | MS:0.1000000000 | MSI:0.1000000000 | PTC:0.1000000000 | PVN:0.1000000000,2002-06-19,439
2002,26,2002-06-24,2002-06-28,2002-06-27,,2002-06-26,0.5,0.5,5,AM | DDS | OMX | PTC | SLR,AM:0.1000000000 | DDS:0.1000000000 | OMX:0.1000000000 | PTC:0.1000000000 | SLR:0.1000000000,2002-06-27,439
2002,27,2002-07-01,2002-07-05,2002-07-05,,2002-07-03,0.5,0.5,5,AM | DDS | MSI | OMX | PTC,AM:0.1000000000 | DDS:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PTC:0.1000000000,2002-07-01,439
2002,28,2002-07-08,2002-07-12,2002-07-12,,2002-07-11,0.5,0.5,5,AM | DDS | MSI | PBG | TRV,AM:0.1000000000 | DDS:0.1000000000 | MSI:0.1000000000 | PBG:0.1000000000 | TRV:0.1000000000,2002-07-10,439
2002,29,2002-07-15,2002-07-19,2002-07-19,,2002-07-18,0.5,0.5,5,DDS | INTU | MSI | PBG | TRV,DDS:0.1000000000 | INTU:0.1000000000 | MSI:0.1000000000 | PBG:0.1000000000 | TRV:0.1000000000,2002-07-18,439
2002,30,2002-07-22,2002-07-26,2002-07-26,,2002-07-25,0.5,0.5,5,BMC | BSX | EBAY | INTU | TRV,BMC:0.1000000000 | BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | TRV:0.1000000000,2002-07-26,440
2002,31,2002-07-29,2002-08-02,2002-08-02,,2002-08-01,0.5,0.5,5,BSX | EBAY | INTU | PTC | TRV,BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | PTC:0.1000000000 | TRV:0.1000000000,2002-08-01,440
2002,32,2002-08-05,2002-08-09,2002-08-09,,2002-08-08,0.5,0.5,5,BSX | EBAY | INTU | PTC | TRV,BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | PTC:0.1000000000 | TRV:0.1000000000,2002-08-09,440
2002,33,2002-08-12,2002-08-16,2002-08-16,,2002-08-15,0.5,0.5,5,BSX | EBAY | INTU | NXTL | PTC,BSX:0.1000000000 | EBAY:0.1000000000 | INTU:0.1000000000 | NXTL:0.1000000000 | PTC:0.1000000000,2002-08-16,440
2002,34,2002-08-19,2002-08-23,2002-08-23,,2002-08-22,0.5,0.5,5,APOL | INTU | NXTL | ORCL | PTC,APOL:0.1000000000 | INTU:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | PTC:0.1000000000,2002-08-22,439
2002,35,2002-08-26,2002-08-30,2002-08-30,,2002-08-29,0.5,0.5,5,APOL | EMC | NXTL | ORCL | SBL,APOL:0.1000000000 | EMC:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | SBL:0.1000000000,2002-08-29,439
2002,36,2002-09-03,2002-09-06,,,2002-08-29,0.5,0.5,5,APOL | EMC | NXTL | ORCL | SBL,APOL:0.1000000000 | EMC:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | SBL:0.1000000000,2002-09-06,440
2002,37,2002-09-09,2002-09-13,2002-09-09,,2002-09-06,0.5,0.5,5,AMGN | APOL | NXTL | ORCL | SBL,AMGN:0.1000000000 | APOL:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000 | SBL:0.1000000000,2002-09-11,440
2002,38,2002-09-16,2002-09-20,2002-09-16,,2002-09-13,0.5,0.5,5,AMGN | APOL | CHIR | NXTL | ORCL,AMGN:0.1000000000 | APOL:0.1000000000 | CHIR:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000,2002-09-19,440
2002,39,2002-09-23,2002-09-27,2002-09-23,,2002-09-20,0.5,0.5,5,AMD | AMGN | GENZ | NXTL | ORCL,AMD:0.1000000000 | AMGN:0.1000000000 | GENZ:0.1000000000 | NXTL:0.1000000000 | ORCL:0.1000000000,2002-09-27,440
2002,40,2002-09-30,2002-10-04,2002-09-30,,2002-09-27,0.5,0.5,5,GENZ | NXTL | OMC | PSFT | Q,GENZ:0.1000000000 | NXTL:0.1000000000 | OMC:0.1000000000 | PSFT:0.1000000000 | Q:0.1000000000,2002-09-27,441
2002,41,2002-10-07,2002-10-11,2002-10-07,,2002-10-04,0.5,0.5,5,COP | EDS | NXTL | OMC | Q,COP:0.1000000000 | EDS:0.1000000000 | NXTL:0.1000000000 | OMC:0.1000000000 | Q:0.1000000000,2002-10-09,441
2002,42,2002-10-14,2002-10-18,2002-10-14,,2002-10-11,0.5,0.5,5,COP | NXTL | OMC | PVN | Q,COP:0.1000000000 | NXTL:0.1000000000 | OMC:0.1000000000 | PVN:0.1000000000 | Q:0.1000000000,2002-10-17,441
2002,43,2002-10-21,2002-10-25,2002-10-21,,2002-10-18,0.5,0.5,5,APOL | COP | KRB | PVN | Q,APOL:0.1000000000 | COP:0.1000000000 | KRB:0.1000000000 | PVN:0.1000000000 | Q:0.1000000000,2002-10-17,441
2002,44,2002-10-28,2002-11-01,2002-10-28,,2002-10-25,0.5,0.5,5,COP | NXTL | PVN | Q | XEL,COP:0.1000000000 | NXTL:0.1000000000 | PVN:0.1000000000 | Q:0.1000000000 | XEL:0.1000000000,2002-10-29,441
2002,45,2002-11-04,2002-11-08,2002-11-04,,2002-11-01,0.5,0.5,5,COP | NXTL | PVN | Q | XEL,COP:0.1000000000 | NXTL:0.1000000000 | PVN:0.1000000000 | Q:0.1000000000 | XEL:0.1000000000,2002-11-06,442
2002,46,2002-11-11,2002-11-15,2002-11-11,,2002-11-08,0.5,0.5,5,CCU | COP | NOVL | NXTL | Q,CCU:0.1000000000 | COP:0.1000000000 | NOVL:0.1000000000 | NXTL:0.1000000000 | Q:0.1000000000,2002-11-06,443
2002,47,2002-11-18,2002-11-22,2002-11-18,,2002-11-15,0.5,0.5,5,CCU | COP | NOVL | NXTL | Q,CCU:0.1000000000 | COP:0.1000000000 | NOVL:0.1000000000 | NXTL:0.1000000000 | Q:0.1000000000,2002-11-22,443
2002,48,2002-11-25,2002-11-29,2002-11-25,,2002-11-22,0.5,0.5,5,CA | COP | CPWR | NXTL | Q,CA:0.1000000000 | COP:0.1000000000 | CPWR:0.1000000000 | NXTL:0.1000000000 | Q:0.1000000000,2002-11-26,443
2002,49,2002-12-02,2002-12-06,2002-12-03,,2002-12-02,0.5,0.5,5,AWE | CA | CPWR | NXTL | TLAB,AWE:0.1000000000 | CA:0.1000000000 | CPWR:0.1000000000 | NXTL:0.1000000000 | TLAB:0.1000000000,2002-11-26,443
2002,50,2002-12-09,2002-12-13,2002-12-10,,2002-12-09,0.5,0.5,5,ADCT | AWE | NXTL | Q | TLAB,ADCT:0.1000000000 | AWE:0.1000000000 | NXTL:0.1000000000 | Q:0.1000000000 | TLAB:0.1000000000,2002-12-13,443
2002,51,2002-12-16,2002-12-20,2002-12-17,,2002-12-16,0.5,0.5,5,ADCT | GLW | NXTL | PWER | TLAB,ADCT:0.1000000000 | GLW:0.1000000000 | NXTL:0.1000000000 | PWER:0.1000000000 | TLAB:0.1000000000,2002-12-19,443
2002,52,2002-12-23,2002-12-27,2002-12-24,,2002-12-23,0.5,0.5,5,GLW | NXTL | PCS | PWER | T,GLW:0.1000000000 | NXTL:0.1000000000 | PCS:0.1000000000 | PWER:0.1000000000 | T:0.1000000000,2002-12-19,443
