year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2019,1,2019-01-02,2019-12-31,,,2019-12-24,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
2019,13,2019-03-25,2019-03-29,2019-03-27,,2019-03-26,1.0,0.0,5,CELG | COTY | GE | NFLX | XLNX,CELG:0.2000000000 | COTY:0.2000000000 | GE:0.2000000000 | NFLX:0.2000000000 | XLNX:0.2000000000,2019-02-27,502
2019,14,2019-04-01,2019-04-05,2019-04-03,,2019-04-02,1.0,0.0,5,COTY | GE | MAT | WDC | XLNX,COTY:0.2000000000 | GE:0.2000000000 | MAT:0.2000000000 | WDC:0.2000000000 | XLNX:0.2000000000,2019-04-02,502
2019,15,2019-04-08,2019-04-12,2019-04-10,,2019-04-09,1.0,0.0,5,ALGN | ANET | COTY | WDC | XLNX,ALGN:0.2000000000 | ANET:0.2000000000 | COTY:0.2000000000 | WDC:0.2000000000 | XLNX:0.2000000000,2019-04-02,502
2019,16,2019-04-15,2019-04-18,2019-04-17,,2019-04-16,1.0,0.0,5,ALGN | ANET | COTY | WDC | XLNX,ALGN:0.2000000000 | ANET:0.2000000000 | COTY:0.2000000000 | WDC:0.2000000000 | XLNX:0.2000000000,2019-04-02,502
2019,17,2019-04-22,2019-04-26,2019-04-25,,2019-04-24,1.0,0.0,5,ALGN | ANET | COTY | WDC | XLNX,ALGN:0.2000000000 | ANET:0.2000000000 | COTY:0.2000000000 | WDC:0.2000000000 | XLNX:0.2000000000,2019-04-02,502
2019,18,2019-04-29,2019-05-03,2019-05-02,,2019-05-01,1.0,0.0,5,ALGN | ANET | CAG | COTY | NVDA,ALGN:0.2000000000 | ANET:0.2000000000 | CAG:0.2000000000 | COTY:0.2000000000 | NVDA:0.2000000000,2019-04-02,502
2019,19,2019-05-06,2019-05-10,2019-05-09,,2019-05-08,1.0,0.0,5,ALGN | ANET | CAG | COTY | NVDA,ALGN:0.2000000000 | ANET:0.2000000000 | CAG:0.2000000000 | COTY:0.2000000000 | NVDA:0.2000000000,2019-04-02,502
2019,20,2019-05-13,2019-05-17,2019-05-16,,2019-05-15,1.0,0.0,5,ANET | APC | CAG | DOW | NVDA,ANET:0.2000000000 | APC:0.2000000000 | CAG:0.2000000000 | DOW:0.2000000000 | NVDA:0.2000000000,2019-04-02,502
2019,21,2019-05-20,2019-05-24,2019-05-23,,2019-05-22,1.0,0.0,5,ANET | APC | CAG | DOW | NVDA,ANET:0.2000000000 | APC:0.2000000000 | CAG:0.2000000000 | DOW:0.2000000000 | NVDA:0.2000000000,2019-04-02,502
2019,22,2019-05-28,2019-05-31,2019-05-31,,2019-05-30,1.0,0.0,5,APC | CAG | DOW | NVDA | QCOM,APC:0.2000000000 | CAG:0.2000000000 | DOW:0.2000000000 | NVDA:0.2000000000 | QCOM:0.2000000000,2019-04-02,502
2019,23,2019-06-03,2019-06-07,2019-06-07,,2019-06-06,1.0,0.0,5,ALGN | APC | CAG | DOW | QCOM,ALGN:0.2000000000 | APC:0.2000000000 | CAG:0.2000000000 | DOW:0.2000000000 | QCOM:0.2000000000,2019-06-07,500
2019,24,2019-06-10,2019-06-14,2019-06-14,,2019-06-13,1.0,0.0,5,ALGN | APC | CAG | DOW | QCOM,ALGN:0.2000000000 | APC:0.2000000000 | CAG:0.2000000000 | DOW:0.2000000000 | QCOM:0.2000000000,2019-06-07,501
2019,25,2019-06-17,2019-06-21,2019-06-21,,2019-06-20,1.0,0.0,5,ALGN | APC | COTY | DOW | QCOM,ALGN:0.2000000000 | APC:0.2000000000 | COTY:0.2000000000 | DOW:0.2000000000 | QCOM:0.2000000000,2019-06-07,501
2019,26,2019-06-24,2019-06-28,2019-06-28,,2019-06-27,1.0,0.0,5,AMD | APC | ARNC | DOW | QCOM,AMD:0.2000000000 | APC:0.2000000000 | ARNC:0.2000000000 | DOW:0.2000000000 | QCOM:0.2000000000,2019-06-07,501
2019,27,2019-07-01,2019-07-05,,,2019-06-27,1.0,0.0,5,AMD | APC | ARNC | DOW | QCOM,AMD:0.2000000000 | APC:0.2000000000 | ARNC:0.2000000000 | DOW:0.2000000000 | QCOM:0.2000000000,2019-07-01,502
2019,28,2019-07-08,2019-07-12,2019-07-08,,2019-07-05,1.0,0.0,5,APC | ARNC | COTY | QCOM | TTWO,APC:0.2000000000 | ARNC:0.2000000000 | COTY:0.2000000000 | QCOM:0.2000000000 | TTWO:0.2000000000,2019-07-01,501
2019,29,2019-07-15,2019-07-19,2019-07-15,,2019-07-12,1.0,0.0,5,APC | COTY | QCOM | TTWO | UAA,APC:0.2000000000 | COTY:0.2000000000 | QCOM:0.2000000000 | TTWO:0.2000000000 | UAA:0.2000000000,2019-07-15,502
2019,30,2019-07-22,2019-07-26,2019-07-22,,2019-07-19,1.0,0.0,5,ANTM | COTY | RMD | TTWO | UAA,ANTM:0.2000000000 | COTY:0.2000000000 | RMD:0.2000000000 | TTWO:0.2000000000 | UAA:0.2000000000,2019-07-15,502
2019,31,2019-07-29,2019-08-02,2019-07-29,,2019-07-26,1.0,0.0,5,AGN | COTY | ILMN | INCY | TTWO,AGN:0.2000000000 | COTY:0.2000000000 | ILMN:0.2000000000 | INCY:0.2000000000 | TTWO:0.2000000000,2019-07-15,502
2019,32,2019-08-05,2019-08-09,2019-08-05,,2019-08-02,1.0,0.0,5,AGN | ILMN | MKTX | TTWO | UAA,AGN:0.2000000000 | ILMN:0.2000000000 | MKTX:0.2000000000 | TTWO:0.2000000000 | UAA:0.2000000000,2019-08-09,502
2019,33,2019-08-12,2019-08-16,2019-08-12,,2019-08-09,1.0,0.0,5,AGN | ILMN | MKTX | SYMC | UAA,AGN:0.2000000000 | ILMN:0.2000000000 | MKTX:0.2000000000 | SYMC:0.2000000000 | UAA:0.2000000000,2019-08-09,502
2019,34,2019-08-19,2019-08-23,2019-08-19,,2019-08-16,1.0,0.0,5,AMD | MKTX | MU | SYMC | WDC,AMD:0.2000000000 | MKTX:0.2000000000 | MU:0.2000000000 | SYMC:0.2000000000 | WDC:0.2000000000,2019-08-09,502
2019,35,2019-08-26,2019-08-30,2019-08-26,,2019-08-23,1.0,0.0,5,AMAT | AMD | MU | WDC | XLNX,AMAT:0.2000000000 | AMD:0.2000000000 | MU:0.2000000000 | WDC:0.2000000000 | XLNX:0.2000000000,2019-08-09,502
2019,36,2019-09-03,2019-09-06,2019-09-03,,2019-08-30,1.0,0.0,5,AGN | DVA | HFC | MU | WDC,AGN:0.2000000000 | DVA:0.2000000000 | HFC:0.2000000000 | MU:0.2000000000 | WDC:0.2000000000,2019-08-09,502
2019,37,2019-09-09,2019-09-13,2019-09-10,,2019-09-09,1.0,0.0,5,AGN | DVA | HFC | MU | WDC,AGN:0.2000000000 | DVA:0.2000000000 | HFC:0.2000000000 | MU:0.2000000000 | WDC:0.2000000000,2019-08-09,502
2019,38,2019-09-16,2019-09-20,2019-09-17,,2019-09-16,1.0,0.0,5,AGN | DVA | MU | SYMC | WDC,AGN:0.2000000000 | DVA:0.2000000000 | MU:0.2000000000 | SYMC:0.2000000000 | WDC:0.2000000000,2019-08-09,502
2019,39,2019-09-23,2019-09-27,2019-09-24,,2019-09-23,1.0,0.0,5,AGN | MU | TGT | TWTR | WDC,AGN:0.2000000000 | MU:0.2000000000 | TGT:0.2000000000 | TWTR:0.2000000000 | WDC:0.2000000000,2019-09-26,502
2019,40,2019-09-30,2019-10-04,2019-10-01,,2019-09-30,1.0,0.0,5,KLAC | MKTX | MU | TGT | TWTR,KLAC:0.2000000000 | MKTX:0.2000000000 | MU:0.2000000000 | TGT:0.2000000000 | TWTR:0.2000000000,2019-10-03,502
2019,41,2019-10-07,2019-10-11,2019-10-08,,2019-10-07,1.0,0.0,5,KLAC | MKTX | MU | TGT | TWTR,KLAC:0.2000000000 | MKTX:0.2000000000 | MU:0.2000000000 | TGT:0.2000000000 | TWTR:0.2000000000,2019-10-03,502
2019,42,2019-10-14,2019-10-18,2019-10-15,,2019-10-14,1.0,0.0,5,KLAC | MU | NWL | TGT | WDC,KLAC:0.2000000000 | MU:0.2000000000 | NWL:0.2000000000 | TGT:0.2000000000 | WDC:0.2000000000,2019-10-18,502
2019,43,2019-10-21,2019-10-25,2019-10-22,,2019-10-21,1.0,0.0,5,ATVI | LKQ | MYL | NWL | TGT,ATVI:0.2000000000 | LKQ:0.2000000000 | MYL:0.2000000000 | NWL:0.2000000000 | TGT:0.2000000000,2019-10-18,502
2019,44,2019-10-28,2019-11-01,2019-10-29,,2019-10-28,1.0,0.0,5,KLAC | LKQ | NWL | STX | TGT,KLAC:0.2000000000 | LKQ:0.2000000000 | NWL:0.2000000000 | STX:0.2000000000 | TGT:0.2000000000,2019-10-18,502
2019,45,2019-11-04,2019-11-08,2019-11-05,,2019-11-04,1.0,0.0,5,KLAC | LKQ | NWL | STX | TGT,KLAC:0.2000000000 | LKQ:0.2000000000 | NWL:0.2000000000 | STX:0.2000000000 | TGT:0.2000000000,2019-11-05,502
2019,46,2019-11-11,2019-11-15,2019-11-12,,2019-11-11,1.0,0.0,5,JWN | KLAC | LKQ | NWL | TGT,JWN:0.2000000000 | KLAC:0.2000000000 | LKQ:0.2000000000 | NWL:0.2000000000 | TGT:0.2000000000,2019-11-05,502
2019,47,2019-11-18,2019-11-22,2019-11-19,,2019-11-18,1.0,0.0,5,ALGN | JWN | NWL | TGT | TPR,ALGN:0.2000000000 | JWN:0.2000000000 | NWL:0.2000000000 | TGT:0.2000000000 | TPR:0.2000000000,2019-11-21,502
2019,48,2019-11-25,2019-11-29,2019-11-26,,2019-11-25,1.0,0.0,5,ALGN | COTY | JWN | PVH | TPR,ALGN:0.2000000000 | COTY:0.2000000000 | JWN:0.2000000000 | PVH:0.2000000000 | TPR:0.2000000000,2019-11-21,502
2019,49,2019-12-02,2019-12-06,2019-12-04,,2019-12-03,1.0,0.0,5,ALGN | BIIB | COTY | JWN | TIF,ALGN:0.2000000000 | BIIB:0.2000000000 | COTY:0.2000000000 | JWN:0.2000000000 | TIF:0.2000000000,2019-12-05,502
2019,50,2019-12-09,2019-12-13,2019-12-11,,2019-12-10,1.0,0.0,5,ALGN | BIIB | PEAK | QRVO | TIF,ALGN:0.2000000000 | BIIB:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-10,502
2019,51,2019-12-16,2019-12-20,2019-12-18,,2019-12-17,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-10,502
2019,52,2019-12-23,2019-12-27,2019-12-26,,2019-12-24,1.0,0.0,5,ALGN | AMD | PEAK | QRVO | TIF,ALGN:0.2000000000 | AMD:0.2000000000 | PEAK:0.2000000000 | QRVO:0.2000000000 | TIF:0.2000000000,2019-12-23,502
