year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2000,12,2000-03-20,2000-03-24,2000-03-24,,2000-03-23,1.0,0.0,5,ADI | CNXT | LB | MS | NTAP,ADI:0.2000000000 | CNXT:0.2000000000 | LB:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000,2000-03-21,421
2000,13,2000-03-27,2000-03-31,2000-03-31,,2000-03-30,1.0,0.0,5,ADI | COMS | LSI | MS | NTAP,ADI:0.2000000000 | COMS:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000,2000-03-29,421
2000,14,2000-04-03,2000-04-07,2000-04-07,,2000-04-06,1.0,0.0,5,ADI | LSI | MS | NTAP | SFA,ADI:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,2000-04-06,422
2000,15,2000-04-10,2000-04-14,2000-04-14,,2000-04-13,1.0,0.0,5,ADSK | LSI | MS | NTAP | SFA,ADSK:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,2000-04-10,421
2000,16,2000-04-17,2000-04-20,,,2000-04-13,1.0,0.0,5,ADSK | LSI | MS | NTAP | SFA,ADSK:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,2000-04-20,423
2000,17,2000-04-24,2000-04-28,2000-04-24,,2000-04-20,1.0,0.0,5,ADSK | LSI | MS | NTAP | SFA,ADSK:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,2000-04-27,422
2000,18,2000-05-01,2000-05-05,2000-05-01,,2000-04-28,1.0,0.0,5,LSI | MS | MU | NTAP | SFA,LSI:0.2000000000 | MS:0.2000000000 | MU:0.2000000000 | NTAP:0.2000000000 | SFA:0.2000000000,2000-05-05,423
2000,19,2000-05-08,2000-05-12,2000-05-08,,2000-05-05,1.0,0.0,5,AMD | LSI | MSI | MU | TMC,AMD:0.2000000000 | LSI:0.2000000000 | MSI:0.2000000000 | MU:0.2000000000 | TMC:0.2000000000,2000-05-11,421
2000,20,2000-05-15,2000-05-19,2000-05-15,,2000-05-12,1.0,0.0,5,AMD | MIR | MU | NGH | TMC,AMD:0.2000000000 | MIR:0.2000000000 | MU:0.2000000000 | NGH:0.2000000000 | TMC:0.2000000000,2000-05-17,422
2000,21,2000-05-22,2000-05-26,2000-05-22,,2000-05-19,1.0,0.0,5,AMD | MIR | MU | RBK | TMC,AMD:0.2000000000 | MIR:0.2000000000 | MU:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000,2000-05-17,422
2000,22,2000-05-30,2000-06-02,2000-05-30,,2000-05-26,1.0,0.0,5,AMD | BBY | MU | RBK | TMC,AMD:0.2000000000 | BBY:0.2000000000 | MU:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000,2000-06-02,423
2000,23,2000-06-05,2000-06-09,2000-06-06,,2000-06-05,1.0,0.0,5,AMD | NGH | RBK | TMC | UPR,AMD:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | TMC:0.2000000000 | UPR:0.2000000000,2000-06-09,423
2000,24,2000-06-12,2000-06-16,2000-06-13,,2000-06-12,1.0,0.0,5,AMD | BBBY | NGH | RBK | UPR,AMD:0.2000000000 | BBBY:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UPR:0.2000000000,2000-06-16,421
2000,25,2000-06-19,2000-06-23,2000-06-20,,2000-06-19,1.0,0.0,5,AMD | NGH | RBK | UNM | UPR,AMD:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000 | UPR:0.2000000000,2000-06-23,425
2000,26,2000-06-26,2000-06-30,2000-06-27,,2000-06-26,1.0,0.0,5,AW | NGH | RBK | UNM | UPR,AW:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000 | UPR:0.2000000000,2000-06-29,425
2000,27,2000-07-03,2000-07-07,2000-07-05,,2000-07-03,1.0,0.0,5,AW | BEAM | NGH | RBK | UNM,AW:0.2000000000 | BEAM:0.2000000000 | NGH:0.2000000000 | RBK:0.2000000000 | UNM:0.2000000000,2000-07-06,425
2000,28,2000-07-10,2000-07-14,2000-07-12,,2000-07-11,1.0,0.0,5,ADCT | AW | BEAM | MS | NGH,ADCT:0.2000000000 | AW:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000,2000-07-14,424
2000,29,2000-07-17,2000-07-21,2000-07-19,,2000-07-18,1.0,0.0,5,ADCT | BEAM | MS | NGH | SAPE,ADCT:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000 | SAPE:0.2000000000,2000-07-19,423
2000,30,2000-07-24,2000-07-28,2000-07-26,,2000-07-25,1.0,0.0,5,ADCT | BEAM | MS | NGH | SAPE,ADCT:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000 | SAPE:0.2000000000,2000-07-28,422
2000,31,2000-07-31,2000-08-04,2000-08-02,,2000-08-01,1.0,0.0,5,ADCT | BEAM | MS | NGH | SAPE,ADCT:0.2000000000 | BEAM:0.2000000000 | MS:0.2000000000 | NGH:0.2000000000 | SAPE:0.2000000000,2000-08-04,422
2000,32,2000-08-07,2000-08-11,2000-08-09,,2000-08-08,1.0,0.0,5,BEAM | CNC | MS | MU | SANM,BEAM:0.2000000000 | CNC:0.2000000000 | MS:0.2000000000 | MU:0.2000000000 | SANM:0.2000000000,2000-08-07,422
2000,33,2000-08-14,2000-08-18,2000-08-16,,2000-08-15,1.0,0.0,5,BEAM | BRCM | CNC | MU | SANM,BEAM:0.2000000000 | BRCM:0.2000000000 | CNC:0.2000000000 | MU:0.2000000000 | SANM:0.2000000000,2000-08-17,423
2000,34,2000-08-21,2000-08-25,2000-08-23,,2000-08-22,1.0,0.0,5,BEAM | BRCM | CNC | MS | SANM,BEAM:0.2000000000 | BRCM:0.2000000000 | CNC:0.2000000000 | MS:0.2000000000 | SANM:0.2000000000,2000-08-25,422
2000,35,2000-08-28,2000-09-01,2000-08-30,,2000-08-29,1.0,0.0,5,BRCM | MS | PALM | PSFT | SANM,BRCM:0.2000000000 | MS:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,2000-08-30,424
2000,36,2000-09-05,2000-09-08,2000-09-07,,2000-09-06,1.0,0.0,5,BRCM | HCR | PALM | PSFT | SANM,BRCM:0.2000000000 | HCR:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,2000-09-07,424
2000,37,2000-09-11,2000-09-15,2000-09-14,,2000-09-13,1.0,0.0,5,BRCM | HCR | PALM | PSFT | SANM,BRCM:0.2000000000 | HCR:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,2000-09-15,423
2000,38,2000-09-18,2000-09-22,2000-09-21,,2000-09-20,1.0,0.0,5,BRCM | HCR | PALM | PSFT | SANM,BRCM:0.2000000000 | HCR:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000 | SANM:0.2000000000,2000-09-15,424
2000,39,2000-09-25,2000-09-29,2000-09-28,,2000-09-27,1.0,0.0,5,BRCM | HCR | LB | PALM | PSFT,BRCM:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000,2000-09-27,425
2000,40,2000-10-02,2000-10-06,2000-10-05,,2000-10-04,1.0,0.0,5,HCR | LB | NTAP | PSFT | PWJ,HCR:0.2000000000 | LB:0.2000000000 | NTAP:0.2000000000 | PSFT:0.2000000000 | PWJ:0.2000000000,2000-10-03,424
2000,41,2000-10-09,2000-10-13,2000-10-12,,2000-10-11,1.0,0.0,5,BSC | HCR | LB | PALM | PSFT,BSC:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | PSFT:0.2000000000,2000-10-10,425
2000,42,2000-10-16,2000-10-20,2000-10-19,,2000-10-18,1.0,0.0,5,BSC | HCR | LB | PALM | UIS,BSC:0.2000000000 | HCR:0.2000000000 | LB:0.2000000000 | PALM:0.2000000000 | UIS:0.2000000000,2000-10-19,425
2000,43,2000-10-23,2000-10-27,2000-10-26,,2000-10-25,1.0,0.0,5,HCR | MERQ | PALM | SEBL | VRTS,HCR:0.2000000000 | MERQ:0.2000000000 | PALM:0.2000000000 | SEBL:0.2000000000 | VRTS:0.2000000000,2000-10-23,426
2000,44,2000-10-30,2000-11-03,2000-11-02,,2000-11-01,1.0,0.0,5,ADI | HUM | MDR | MERQ | NTAP,ADI:0.2000000000 | HUM:0.2000000000 | MDR:0.2000000000 | MERQ:0.2000000000 | NTAP:0.2000000000,2000-11-03,426
2000,45,2000-11-06,2000-11-10,2000-11-09,,2000-11-08,1.0,0.0,5,HUM | MDR | NTAP | PSFT | VRTS,HUM:0.2000000000 | MDR:0.2000000000 | NTAP:0.2000000000 | PSFT:0.2000000000 | VRTS:0.2000000000,2000-11-08,426
2000,46,2000-11-13,2000-11-17,2000-11-16,,2000-11-15,0.5,0.5,5,MDR | NTAP | PALM | PSFT | VRTS,MDR:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000 | VRTS:0.1000000000,2000-11-17,428
2000,47,2000-11-20,2000-11-24,2000-11-24,,2000-11-22,0.5,0.5,5,BBBY | HUM | NTAP | PALM | PSFT,BBBY:0.1000000000 | HUM:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000,2000-11-24,427
2000,48,2000-11-27,2000-12-01,2000-12-01,,2000-11-30,0.5,0.5,5,BBBY | HON | HUM | KG | PSFT,BBBY:0.1000000000 | HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | PSFT:0.1000000000,2000-12-01,429
2000,49,2000-12-04,2000-12-08,2000-12-08,,2000-12-07,0.5,0.5,5,HON | HUM | KG | PALM | PSFT,HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | PALM:0.1000000000 | PSFT:0.1000000000,2000-12-08,429
2000,50,2000-12-11,2000-12-15,2000-12-15,,2000-12-14,0.5,0.5,5,ABI | HON | HUM | KG | WLL,ABI:0.1000000000 | HON:0.1000000000 | HUM:0.1000000000 | KG:0.1000000000 | WLL:0.1000000000,2000-12-15,431
2000,51,2000-12-18,2000-12-22,2000-12-22,,2000-12-21,0.5,0.5,5,ABI | CTXS | HON | KG | WLL,ABI:0.1000000000 | CTXS:0.1000000000 | HON:0.1000000000 | KG:0.1000000000 | WLL:0.1000000000,2000-12-22,431
2000,52,2000-12-26,2000-12-29,,,2000-12-21,0.5,0.5,5,ABI | CTXS | HON | KG | WLL,ABI:0.1000000000 | CTXS:0.1000000000 | HON:0.1000000000 | KG:0.1000000000 | WLL:0.1000000000,2000-12-29,431
2001,1,2001-01-02,2001-12-31,2001-01-02,,2001-12-26,0.5,0.5,5,BRCM | NTAP | PALM | QLGC | VRTS,BRCM:0.1000000000 | NTAP:0.1000000000 | PALM:0.1000000000 | QLGC:0.1000000000 | VRTS:0.1000000000,2001-12-24,434
2001,2,2001-01-08,2001-01-12,2001-01-09,,2001-01-08,0.5,0.5,5,ABI | ADP | AW | HON | WLL,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | HON:0.1000000000 | WLL:0.1000000000,2001-01-12,431
2001,3,2001-01-16,2001-01-19,2001-01-17,,2001-01-16,0.5,0.5,5,ABI | ADP | AW | HON | WLL,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | HON:0.1000000000 | WLL:0.1000000000,2001-01-16,432
2001,4,2001-01-22,2001-01-26,2001-01-24,,2001-01-23,0.5,0.5,5,ABI | ADP | AW | CNC | WLL,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | CNC:0.1000000000 | WLL:0.1000000000,2001-01-26,432
2001,5,2001-01-29,2001-02-02,2001-01-31,,2001-01-30,0.5,0.5,5,ABI | ADP | AW | CNC | QTRN,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | CNC:0.1000000000 | QTRN:0.1000000000,2001-01-31,432
2001,6,2001-02-05,2001-02-09,2001-02-07,,2001-02-06,0.5,0.5,5,ABI | ADP | AW | CNC | LPX,ABI:0.1000000000 | ADP:0.1000000000 | AW:0.1000000000 | CNC:0.1000000000 | LPX:0.1000000000,2001-02-09,432
2001,7,2001-02-12,2001-02-16,2001-02-14,,2001-02-13,0.5,0.5,5,ABI | ADP | CNC | KLAC | NVLS,ABI:0.1000000000 | ADP:0.1000000000 | CNC:0.1000000000 | KLAC:0.1000000000 | NVLS:0.1000000000,2001-02-16,431
2001,8,2001-02-20,2001-02-23,2001-02-22,,2001-02-21,0.5,0.5,5,ABI | ADP | CNC | KLAC | NVLS,ABI:0.1000000000 | ADP:0.1000000000 | CNC:0.1000000000 | KLAC:0.1000000000 | NVLS:0.1000000000,2001-02-20,431
2001,9,2001-02-26,2001-03-02,2001-03-01,,2001-02-28,0.5,0.5,5,ABI | ADP | AMCC | BBY | CNC,ABI:0.1000000000 | ADP:0.1000000000 | AMCC:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000,2001-03-02,430
2001,10,2001-03-05,2001-03-09,2001-03-08,,2001-03-07,0.5,0.5,5,BBY | CNC | MDR | OMX | XRX,BBY:0.1000000000 | CNC:0.1000000000 | MDR:0.1000000000 | OMX:0.1000000000 | XRX:0.1000000000,2001-03-09,429
2001,11,2001-03-12,2001-03-16,2001-03-15,,2001-03-14,0.5,0.5,5,BBY | CNC | CPWR | MDR | OMX,BBY:0.1000000000 | CNC:0.1000000000 | CPWR:0.1000000000 | MDR:0.1000000000 | OMX:0.1000000000,2001-03-12,431
2001,12,2001-03-19,2001-03-23,2001-03-22,,2001-03-21,0.5,0.5,5,BBY | CMI | CNC | CPWR | MDR,BBY:0.1000000000 | CMI:0.1000000000 | CNC:0.1000000000 | CPWR:0.1000000000 | MDR:0.1000000000,2001-03-22,431
2001,13,2001-03-26,2001-03-30,2001-03-29,,2001-03-28,0.5,0.5,5,AMD | BBY | CA | CPWR | JCP,AMD:0.1000000000 | BBY:0.1000000000 | CA:0.1000000000 | CPWR:0.1000000000 | JCP:0.1000000000,2001-03-30,431
2001,14,2001-04-02,2001-04-06,2001-04-05,,2001-04-04,0.5,0.5,5,AM | AMD | CPWR | SBL | SFA,AM:0.1000000000 | AMD:0.1000000000 | CPWR:0.1000000000 | SBL:0.1000000000 | SFA:0.1000000000,2001-04-03,431
2001,15,2001-04-09,2001-04-12,2001-04-12,,2001-04-11,0.5,0.5,5,AMD | EIX | HM | JCP | SBL,AMD:0.1000000000 | EIX:0.1000000000 | HM:0.1000000000 | JCP:0.1000000000 | SBL:0.1000000000,2001-04-11,430
2001,16,2001-04-16,2001-04-20,2001-04-20,,2001-04-19,0.5,0.5,5,EIX | JCP | LOW | PCG | SBL,EIX:0.1000000000 | JCP:0.1000000000 | LOW:0.1000000000 | PCG:0.1000000000 | SBL:0.1000000000,2001-04-20,430
2001,17,2001-04-23,2001-04-27,2001-04-27,,2001-04-26,0.5,0.5,5,AMD | DDS | EIX | JCP | LOW,AMD:0.1000000000 | DDS:0.1000000000 | EIX:0.1000000000 | JCP:0.1000000000 | LOW:0.1000000000,2001-04-20,430
2001,18,2001-04-30,2001-05-04,2001-05-04,,2001-05-03,0.5,0.5,5,DDS | FLR | LDG | MIR | SRE,DDS:0.1000000000 | FLR:0.1000000000 | LDG:0.1000000000 | MIR:0.1000000000 | SRE:0.1000000000,2001-05-02,430
2001,19,2001-05-07,2001-05-11,2001-05-11,,2001-05-10,0.5,0.5,5,ADBE | BBY | DDS | HM | MIR,ADBE:0.1000000000 | BBY:0.1000000000 | DDS:0.1000000000 | HM:0.1000000000 | MIR:0.1000000000,2001-05-10,430
2001,20,2001-05-14,2001-05-18,2001-05-18,,2001-05-17,0.5,0.5,5,ADBE | BBY | BMC | HM | MIR,ADBE:0.1000000000 | BBY:0.1000000000 | BMC:0.1000000000 | HM:0.1000000000 | MIR:0.1000000000,2001-05-14,432
2001,21,2001-05-21,2001-05-25,2001-05-25,,2001-05-24,0.5,0.5,5,ADBE | BBY | CNC | PHM | XRX,ADBE:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000 | PHM:0.1000000000 | XRX:0.1000000000,2001-05-22,432
2001,22,2001-05-29,2001-06-01,,,2001-05-24,0.5,0.5,5,ADBE | BBY | CNC | PHM | XRX,ADBE:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000 | PHM:0.1000000000 | XRX:0.1000000000,2001-05-31,432
2001,23,2001-06-04,2001-06-08,2001-06-04,,2001-06-01,0.5,0.5,5,ADBE | BBY | CNC | JBL | XRX,ADBE:0.1000000000 | BBY:0.1000000000 | CNC:0.1000000000 | JBL:0.1000000000 | XRX:0.1000000000,2001-06-04,432
2001,24,2001-06-11,2001-06-15,2001-06-11,,2001-06-08,0.5,0.5,5,ADBE | JBL | MERQ | QLGC | XRX,ADBE:0.1000000000 | JBL:0.1000000000 | MERQ:0.1000000000 | QLGC:0.1000000000 | XRX:0.1000000000,2001-06-12,432
2001,25,2001-06-18,2001-06-22,2001-06-18,,2001-06-15,0.5,0.5,5,ADBE | JBL | MERQ | QLGC | XRX,ADBE:0.1000000000 | JBL:0.1000000000 | MERQ:0.1000000000 | QLGC:0.1000000000 | XRX:0.1000000000,2001-06-20,432
2001,26,2001-06-25,2001-06-29,2001-06-25,,2001-06-22,0.5,0.5,5,JBL | MERQ | QLGC | SEBL | XRX,JBL:0.1000000000 | MERQ:0.1000000000 | QLGC:0.1000000000 | SEBL:0.1000000000 | XRX:0.1000000000,2001-06-29,433
2001,27,2001-07-02,2001-07-06,2001-07-02,,2001-06-29,0.5,0.5,5,MERQ | PSFT | QLGC | SEBL | XRX,MERQ:0.1000000000 | PSFT:0.1000000000 | QLGC:0.1000000000 | SEBL:0.1000000000 | XRX:0.1000000000,2001-07-03,433
2001,28,2001-07-09,2001-07-13,2001-07-10,,2001-07-09,0.5,0.5,5,MERQ | PSFT | QLGC | SEBL | XRX,MERQ:0.1000000000 | PSFT:0.1000000000 | QLGC:0.1000000000 | SEBL:0.1000000000 | XRX:0.1000000000,2001-07-12,432
2001,29,2001-07-16,2001-07-20,2001-07-17,,2001-07-16,0.5,0.5,5,CMI | PSFT | PTC | QLGC | XRX,CMI:0.1000000000 | PSFT:0.1000000000 | PTC:0.1000000000 | QLGC:0.1000000000 | XRX:0.1000000000,2001-07-12,433
2001,30,2001-07-23,2001-07-27,2001-07-24,,2001-07-23,0.5,0.5,5,CMI | LB | PSFT | PTC | QLGC,CMI:0.1000000000 | LB:0.1000000000 | PSFT:0.1000000000 | PTC:0.1000000000 | QLGC:0.1000000000,2001-07-27,433
2001,31,2001-07-30,2001-08-03,2001-07-31,,2001-07-30,0.5,0.5,5,CMI | LB | PSFT | PTC | QLGC,CMI:0.1000000000 | LB:0.1000000000 | PSFT:0.1000000000 | PTC:0.1000000000 | QLGC:0.1000000000,2001-08-03,433
2001,32,2001-08-06,2001-08-10,2001-08-07,,2001-08-06,0.5,0.5,5,CMI | EIX | LB | PCG | PTC,CMI:0.1000000000 | EIX:0.1000000000 | LB:0.1000000000 | PCG:0.1000000000 | PTC:0.1000000000,2001-08-10,433
2001,33,2001-08-13,2001-08-17,2001-08-14,,2001-08-13,0.4,0.6,4,CMI | EIX | MS | QLGC,CMI:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | QLGC:0.1000000000,2001-08-17,433
2001,34,2001-08-20,2001-08-24,2001-08-21,,2001-08-20,0.5,0.5,5,CMI | EIX | JCP | MS | PCG,CMI:0.1000000000 | EIX:0.1000000000 | JCP:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,2001-08-20,433
2001,35,2001-08-27,2001-08-31,2001-08-28,,2001-08-27,0.5,0.5,5,CMI | CTXS | EIX | MS | PCG,CMI:0.1000000000 | CTXS:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,2001-08-31,433
2001,36,2001-09-04,2001-09-07,2001-09-05,,2001-09-04,0.5,0.5,5,CMI | CTXS | EIX | MS | PCG,CMI:0.1000000000 | CTXS:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,2001-09-07,434
2001,37,2001-09-10,2001-09-10,,,2001-09-04,0.5,0.5,5,CMI | CTXS | EIX | MS | PCG,CMI:0.1000000000 | CTXS:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,2001-09-10,434
2001,38,2001-09-17,2001-09-21,2001-09-18,,2001-09-17,0.5,0.5,5,CBE | CMI | EIX | MS | PCG,CBE:0.1000000000 | CMI:0.1000000000 | EIX:0.1000000000 | MS:0.1000000000 | PCG:0.1000000000,2001-09-21,434
2001,39,2001-09-24,2001-09-28,2001-09-25,,2001-09-24,0.5,0.5,5,CBE | CMI | MS | MSI | PCG,CBE:0.1000000000 | CMI:0.1000000000 | MS:0.1000000000 | MSI:0.1000000000 | PCG:0.1000000000,2001-09-26,434
2001,40,2001-10-01,2001-10-05,2001-10-02,,2001-10-01,0.5,0.5,5,CBE | CMI | CNXT | MSI | PCG,CBE:0.1000000000 | CMI:0.1000000000 | CNXT:0.1000000000 | MSI:0.1000000000 | PCG:0.1000000000,2001-10-04,432
2001,41,2001-10-08,2001-10-12,2001-10-09,,2001-10-08,0.5,0.5,5,CBE | CNXT | MSI | OMX | PCG,CBE:0.1000000000 | CNXT:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PCG:0.1000000000,2001-10-11,433
2001,42,2001-10-15,2001-10-19,2001-10-16,,2001-10-15,0.5,0.5,5,CBE | CNXT | MSI | OMX | PCG,CBE:0.1000000000 | CNXT:0.1000000000 | MSI:0.1000000000 | OMX:0.1000000000 | PCG:0.1000000000,2001-10-16,433
2001,43,2001-10-22,2001-10-26,2001-10-23,,2001-10-22,0.5,0.5,5,CNXT | HM | IMNX | PCG | PDG,CNXT:0.1000000000 | HM:0.1000000000 | IMNX:0.1000000000 | PCG:0.1000000000 | PDG:0.1000000000,2001-10-24,432
2001,44,2001-10-29,2001-11-02,2001-10-30,,2001-10-29,0.5,0.5,5,GDT | HM | HUM | IMNX | PDG,GDT:0.1000000000 | HM:0.1000000000 | HUM:0.1000000000 | IMNX:0.1000000000 | PDG:0.1000000000,2001-10-24,433
2001,45,2001-11-05,2001-11-09,2001-11-06,,2001-11-05,0.5,0.5,5,GDT | HM | IMNX | NEM | PDG,GDT:0.1000000000 | HM:0.1000000000 | IMNX:0.1000000000 | NEM:0.1000000000 | PDG:0.1000000000,2001-11-09,433
2001,46,2001-11-12,2001-11-16,2001-11-13,,2001-11-12,0.5,0.5,5,FLR | GDT | IMNX | LB | PDG,FLR:0.1000000000 | GDT:0.1000000000 | IMNX:0.1000000000 | LB:0.1000000000 | PDG:0.1000000000,2001-11-13,433
2001,47,2001-11-19,2001-11-23,2001-11-20,,2001-11-19,0.5,0.5,5,FLR | GDT | IMNX | INTU | LB,FLR:0.1000000000 | GDT:0.1000000000 | IMNX:0.1000000000 | INTU:0.1000000000 | LB:0.1000000000,2001-11-13,433
2001,48,2001-11-26,2001-11-30,2001-11-28,,2001-11-27,0.5,0.5,5,ADCT | BMET | IMNX | LB | QLGC,ADCT:0.1000000000 | BMET:0.1000000000 | IMNX:0.1000000000 | LB:0.1000000000 | QLGC:0.1000000000,2001-11-30,434
2001,49,2001-12-03,2001-12-07,2001-12-05,,2001-12-04,0.5,0.5,5,BMET | EQR | IMNX | LB | QLGC,BMET:0.1000000000 | EQR:0.1000000000 | IMNX:0.1000000000 | LB:0.1000000000 | QLGC:0.1000000000,2001-12-06,434
2001,50,2001-12-10,2001-12-14,2001-12-12,,2001-12-11,0.5,0.5,5,BRCM | EQR | NTAP | QLGC | VRTS,BRCM:0.1000000000 | EQR:0.1000000000 | NTAP:0.1000000000 | QLGC:0.1000000000 | VRTS:0.1000000000,2001-12-14,434
2001,51,2001-12-17,2001-12-21,2001-12-19,,2001-12-18,0.5,0.5,5,BRCM | EQR | NTAP | QLGC | VRTS,BRCM:0.1000000000 | EQR:0.1000000000 | NTAP:0.1000000000 | QLGC:0.1000000000 | VRTS:0.1000000000,2001-12-21,433
