year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2022,1,2022-01-03,2022-01-07,2022-01-04,,2022-01-03,1.0,0.0,5,AMD | DLTR | ENPH | NVDA | TSLA,AMD:0.2000000000 | DLTR:0.2000000000 | ENPH:0.2000000000 | NVDA:0.2000000000 | TSLA:0.2000000000,2021-12-20,505
2022,14,2022-04-04,2022-04-08,2022-04-07,,2022-04-06,1.0,0.0,5,APA | HAL | MRO | OXY | WTW,APA:0.2000000000 | HAL:0.2000000000 | MRO:0.2000000000 | OXY:0.2000000000 | WTW:0.2000000000,2022-04-04,505
2022,15,2022-04-11,2022-04-14,2022-04-14,,2022-04-13,1.0,0.0,5,HAL | MOS | MRO | OXY | SEDG,HAL:0.2000000000 | MOS:0.2000000000 | MRO:0.2000000000 | OXY:0.2000000000 | SEDG:0.2000000000,2022-04-11,504
2022,16,2022-04-18,2022-04-22,2022-04-22,,2022-04-21,1.0,0.0,5,HAL | MOS | MRO | OXY | SEDG,HAL:0.2000000000 | MOS:0.2000000000 | MRO:0.2000000000 | OXY:0.2000000000 | SEDG:0.2000000000,2022-04-11,504
2022,17,2022-04-25,2022-04-29,2022-04-29,,2022-04-28,1.0,0.0,5,ENPH | MOS | NLSN | OXY | SEDG,ENPH:0.2000000000 | MOS:0.2000000000 | NLSN:0.2000000000 | OXY:0.2000000000 | SEDG:0.2000000000,2022-04-11,504
2022,18,2022-05-02,2022-05-06,2022-05-06,,2022-05-05,1.0,0.0,5,ENPH | MOS | NLSN | OXY | SEDG,ENPH:0.2000000000 | MOS:0.2000000000 | NLSN:0.2000000000 | OXY:0.2000000000 | SEDG:0.2000000000,2022-04-11,504
2022,19,2022-05-09,2022-05-13,2022-05-13,,2022-05-12,0.5,0.5,5,CEG | CF | MOS | NLSN | OXY,CEG:0.1000000000 | CF:0.1000000000 | MOS:0.1000000000 | NLSN:0.1000000000 | OXY:0.1000000000,2022-05-10,504
2022,20,2022-05-16,2022-05-20,2022-05-20,,2022-05-19,0.5,0.5,5,CEG | CF | MOS | NLSN | OXY,CEG:0.1000000000 | CF:0.1000000000 | MOS:0.1000000000 | NLSN:0.1000000000 | OXY:0.1000000000,2022-05-10,504
2022,21,2022-05-23,2022-05-27,2022-05-27,,2022-05-26,0.5,0.5,5,CEG | CF | MOS | NLSN | OXY,CEG:0.1000000000 | CF:0.1000000000 | MOS:0.1000000000 | NLSN:0.1000000000 | OXY:0.1000000000,2022-05-10,504
2022,22,2022-05-31,2022-06-03,,,2022-05-26,0.5,0.5,5,CEG | CF | MOS | NLSN | OXY,CEG:0.1000000000 | CF:0.1000000000 | MOS:0.1000000000 | NLSN:0.1000000000 | OXY:0.1000000000,2022-05-10,504
2022,23,2022-06-06,2022-06-10,2022-06-06,,2022-06-03,0.5,0.5,5,CEG | EPAM | NLSN | TWTR | UAL,CEG:0.1000000000 | EPAM:0.1000000000 | NLSN:0.1000000000 | TWTR:0.1000000000 | UAL:0.1000000000,2022-06-09,504
2022,24,2022-06-13,2022-06-17,2022-06-13,,2022-06-10,0.5,0.5,5,CEG | EPAM | NLSN | TWTR | UAL,CEG:0.1000000000 | EPAM:0.1000000000 | NLSN:0.1000000000 | TWTR:0.1000000000 | UAL:0.1000000000,2022-06-09,504
2022,25,2022-06-21,2022-06-24,2022-06-21,,2022-06-17,0.5,0.5,5,ALB | CEG | CTRA | DVN | MRO,ALB:0.1000000000 | CEG:0.1000000000 | CTRA:0.1000000000 | DVN:0.1000000000 | MRO:0.1000000000,2022-06-21,503
2022,26,2022-06-27,2022-07-01,2022-06-28,,2022-06-27,0.5,0.5,5,CTRA | DVN | EPAM | MRO | NLSN,CTRA:0.1000000000 | DVN:0.1000000000 | EPAM:0.1000000000 | MRO:0.1000000000 | NLSN:0.1000000000,2022-06-28,503
2022,27,2022-07-05,2022-07-08,2022-07-06,,2022-07-05,0.5,0.5,5,CTRA | DVN | EPAM | MRO | OXY,CTRA:0.1000000000 | DVN:0.1000000000 | EPAM:0.1000000000 | MRO:0.1000000000 | OXY:0.1000000000,2022-06-28,503
2022,28,2022-07-11,2022-07-15,2022-07-13,,2022-07-12,0.5,0.5,5,CTRA | DVN | META | MRO | ON,CTRA:0.1000000000 | DVN:0.1000000000 | META:0.1000000000 | MRO:0.1000000000 | ON:0.1000000000,2022-06-28,503
2022,29,2022-07-18,2022-07-22,2022-07-20,,2022-07-19,0.5,0.5,5,EPAM | FDX | META | PSX | VLO,EPAM:0.1000000000 | FDX:0.1000000000 | META:0.1000000000 | PSX:0.1000000000 | VLO:0.1000000000,2022-06-28,503
2022,30,2022-07-25,2022-07-29,2022-07-27,,2022-07-26,0.5,0.5,5,ENPH | EPAM | FDX | META | SEDG,ENPH:0.1000000000 | EPAM:0.1000000000 | FDX:0.1000000000 | META:0.1000000000 | SEDG:0.1000000000,2022-06-28,503
2022,31,2022-08-01,2022-08-05,2022-08-03,,2022-08-02,0.5,0.5,5,ELV | ENPH | FDX | META | SEDG,ELV:0.1000000000 | ENPH:0.1000000000 | FDX:0.1000000000 | META:0.1000000000 | SEDG:0.1000000000,2022-06-28,503
2022,32,2022-08-08,2022-08-12,2022-08-10,,2022-08-09,0.5,0.5,5,ELV | ENPH | META | MRNA | SEDG,ELV:0.1000000000 | ENPH:0.1000000000 | META:0.1000000000 | MRNA:0.1000000000 | SEDG:0.1000000000,2022-06-28,503
2022,33,2022-08-15,2022-08-19,2022-08-17,,2022-08-16,0.5,0.5,5,ELV | ENPH | META | MRNA | SEDG,ELV:0.1000000000 | ENPH:0.1000000000 | META:0.1000000000 | MRNA:0.1000000000 | SEDG:0.1000000000,2022-06-28,503
2022,34,2022-08-22,2022-08-26,2022-08-24,,2022-08-23,0.5,0.5,5,ELV | ENPH | META | MRNA | SEDG,ELV:0.1000000000 | ENPH:0.1000000000 | META:0.1000000000 | MRNA:0.1000000000 | SEDG:0.1000000000,2022-06-28,503
2022,35,2022-08-29,2022-09-02,2022-08-31,,2022-08-30,0.5,0.5,5,ELV | ENPH | ETSY | META | SEDG,ELV:0.1000000000 | ENPH:0.1000000000 | ETSY:0.1000000000 | META:0.1000000000 | SEDG:0.1000000000,2022-06-28,503
2022,36,2022-09-06,2022-09-09,2022-09-08,,2022-09-07,0.5,0.5,5,ELV | ENPH | ETSY | META | MRNA,ELV:0.1000000000 | ENPH:0.1000000000 | ETSY:0.1000000000 | META:0.1000000000 | MRNA:0.1000000000,2022-06-28,503
2022,37,2022-09-12,2022-09-16,2022-09-15,,2022-09-14,0.5,0.5,5,ELV | ENPH | EPAM | ETSY | MRNA,ELV:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | ETSY:0.1000000000 | MRNA:0.1000000000,2022-06-28,503
2022,38,2022-09-19,2022-09-23,2022-09-22,,2022-09-21,0.5,0.5,5,ELV | ENPH | EPAM | ETSY | ON,ELV:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | ETSY:0.1000000000 | ON:0.1000000000,2022-09-19,503
2022,39,2022-09-26,2022-09-30,2022-09-29,,2022-09-28,0.5,0.5,5,BBWI | ENPH | EPAM | ETSY | ON,BBWI:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | ETSY:0.1000000000 | ON:0.1000000000,2022-09-19,503
2022,40,2022-10-03,2022-10-07,2022-10-06,,2022-10-05,0.5,0.5,5,BBWI | ENPH | EPAM | EQT | ON,BBWI:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | EQT:0.1000000000 | ON:0.1000000000,2022-10-03,503
2022,41,2022-10-10,2022-10-14,2022-10-13,,2022-10-12,0.5,0.5,5,BBWI | ENPH | EPAM | EQT | RCL,BBWI:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | EQT:0.1000000000 | RCL:0.1000000000,2022-10-12,503
2022,42,2022-10-17,2022-10-21,2022-10-20,,2022-10-19,0.5,0.5,5,ALB | ENPH | EPAM | NCLH | RCL,ALB:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | NCLH:0.1000000000 | RCL:0.1000000000,2022-10-12,503
2022,43,2022-10-24,2022-10-28,2022-10-27,,2022-10-26,0.5,0.5,5,ALB | ENPH | EPAM | NCLH | RCL,ALB:0.1000000000 | ENPH:0.1000000000 | EPAM:0.1000000000 | NCLH:0.1000000000 | RCL:0.1000000000,2022-10-12,503
2022,44,2022-10-31,2022-11-04,2022-11-03,,2022-11-02,0.5,0.5,5,ALB | APA | CEG | DVN | MRO,ALB:0.1000000000 | APA:0.1000000000 | CEG:0.1000000000 | DVN:0.1000000000 | MRO:0.1000000000,2022-11-01,503
2022,45,2022-11-07,2022-11-11,2022-11-10,,2022-11-09,0.5,0.5,5,APA | BIIB | DVN | DXCM | MRO,APA:0.1000000000 | BIIB:0.1000000000 | DVN:0.1000000000 | DXCM:0.1000000000 | MRO:0.1000000000,2022-11-08,503
2022,46,2022-11-14,2022-11-18,2022-11-17,,2022-11-16,0.5,0.5,5,APA | BIIB | DXCM | MRO | RCL,APA:0.1000000000 | BIIB:0.1000000000 | DXCM:0.1000000000 | MRO:0.1000000000 | RCL:0.1000000000,2022-11-08,503
2022,47,2022-11-21,2022-11-25,2022-11-25,,2022-11-23,0.5,0.5,5,APA | BIIB | DXCM | MRO | RCL,APA:0.1000000000 | BIIB:0.1000000000 | DXCM:0.1000000000 | MRO:0.1000000000 | RCL:0.1000000000,2022-11-08,503
2022,48,2022-11-28,2022-12-02,2022-12-02,,2022-12-01,0.5,0.5,5,APA | BIIB | DXCM | MRO | RCL,APA:0.1000000000 | BIIB:0.1000000000 | DXCM:0.1000000000 | MRO:0.1000000000 | RCL:0.1000000000,2022-11-08,503
2022,49,2022-12-05,2022-12-09,2022-12-09,,2022-12-08,0.5,0.5,5,APA | BIIB | DXCM | GEN | MRO,APA:0.1000000000 | BIIB:0.1000000000 | DXCM:0.1000000000 | GEN:0.1000000000 | MRO:0.1000000000,2022-11-08,503
2022,50,2022-12-12,2022-12-16,2022-12-16,,2022-12-15,0.5,0.5,5,ABMD | BIIB | CPRT | GEN | MRNA,ABMD:0.1000000000 | BIIB:0.1000000000 | CPRT:0.1000000000 | GEN:0.1000000000 | MRNA:0.1000000000,2022-11-08,503
2022,51,2022-12-19,2022-12-23,2022-12-23,2022-12-22,2022-12-22,0.5,0.5,5,BIIB | CPRT | GEN | HAL | MRNA,BIIB:0.1000000000 | CPRT:0.1000000000 | GEN:0.1000000000 | HAL:0.1000000000 | MRNA:0.1000000000,2022-12-22,503
2022,52,2022-12-27,2022-12-30,,,2022-12-22,0.5,0.5,5,BIIB | CPRT | GEN | HAL | MRNA,BIIB:0.1000000000 | CPRT:0.1000000000 | GEN:0.1000000000 | HAL:0.1000000000 | MRNA:0.1000000000,2022-12-22,503
