year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2005,1,2005-01-03,2005-01-07,2005-01-04,,2005-01-03,1.0,0.0,5,AAPL | AMD | GTW | LB | PWER,AAPL:0.2000000000 | AMD:0.2000000000 | GTW:0.2000000000 | LB:0.2000000000 | PWER:0.2000000000,2005-01-06,448
2005,12,2005-03-21,2005-03-24,2005-03-24,,2005-03-23,1.0,0.0,5,AAPL | LSI | MS | NVDA | VLO,AAPL:0.2000000000 | LSI:0.2000000000 | MS:0.2000000000 | NVDA:0.2000000000 | VLO:0.2000000000,2005-03-21,449
2005,13,2005-03-28,2005-04-01,2005-04-01,,2005-03-31,1.0,0.0,5,AAPL | MS | NVDA | VLO | XTO,AAPL:0.2000000000 | MS:0.2000000000 | NVDA:0.2000000000 | VLO:0.2000000000 | XTO:0.2000000000,2005-03-30,449
2005,14,2005-04-04,2005-04-08,2005-04-08,,2005-04-07,1.0,0.0,5,AAPL | MS | UCL | VLO | XTO,AAPL:0.2000000000 | MS:0.2000000000 | UCL:0.2000000000 | VLO:0.2000000000 | XTO:0.2000000000,2005-04-07,448
2005,15,2005-04-11,2005-04-15,2005-04-15,,2005-04-14,1.0,0.0,5,AAPL | MS | UCL | VLO | XTO,AAPL:0.2000000000 | MS:0.2000000000 | UCL:0.2000000000 | VLO:0.2000000000 | XTO:0.2000000000,2005-04-07,449
2005,16,2005-04-18,2005-04-22,2005-04-22,,2005-04-21,1.0,0.0,5,CPWR | MS | NOV | UCL | VLO,CPWR:0.2000000000 | MS:0.2000000000 | NOV:0.2000000000 | UCL:0.2000000000 | VLO:0.2000000000,2005-04-19,449
2005,17,2005-04-25,2005-04-29,2005-04-29,,2005-04-28,1.0,0.0,5,MS | NOV | SDS | UCL | VLO,MS:0.2000000000 | NOV:0.2000000000 | SDS:0.2000000000 | UCL:0.2000000000 | VLO:0.2000000000,2005-04-27,449
2005,18,2005-05-02,2005-05-06,2005-05-06,,2005-05-05,1.0,0.0,5,LB | MS | NOV | SDS | VLO,LB:0.2000000000 | MS:0.2000000000 | NOV:0.2000000000 | SDS:0.2000000000 | VLO:0.2000000000,2005-04-27,449
2005,19,2005-05-09,2005-05-13,2005-05-13,,2005-05-12,1.0,0.0,5,LB | NOV | PTC | SDS | VLO,LB:0.2000000000 | NOV:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000 | VLO:0.2000000000,2005-05-13,448
2005,20,2005-05-16,2005-05-20,2005-05-20,,2005-05-19,1.0,0.0,5,LB | NOV | PTC | SDS | VLO,LB:0.2000000000 | NOV:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000 | VLO:0.2000000000,2005-05-17,448
2005,21,2005-05-23,2005-05-27,2005-05-27,,2005-05-26,1.0,0.0,5,GLW | LB | NOV | PTC | SDS,GLW:0.2000000000 | LB:0.2000000000 | NOV:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000,2005-05-27,448
2005,22,2005-05-31,2005-06-03,,,2005-05-26,1.0,0.0,5,GLW | LB | NOV | PTC | SDS,GLW:0.2000000000 | LB:0.2000000000 | NOV:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000,2005-06-03,448
2005,23,2005-06-06,2005-06-10,2005-06-06,,2005-06-03,1.0,0.0,5,GLW | LB | NOV | PTC | SDS,GLW:0.2000000000 | LB:0.2000000000 | NOV:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000,2005-06-10,449
2005,24,2005-06-13,2005-06-17,2005-06-13,,2005-06-10,1.0,0.0,5,GLW | LB | NOV | PTC | SDS,GLW:0.2000000000 | LB:0.2000000000 | NOV:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000,2005-06-17,449
2005,25,2005-06-20,2005-06-24,2005-06-20,,2005-06-17,1.0,0.0,5,ADSK | GLW | LB | PTC | SDS,ADSK:0.2000000000 | GLW:0.2000000000 | LB:0.2000000000 | PTC:0.2000000000 | SDS:0.2000000000,2005-06-20,449
2005,26,2005-06-27,2005-07-01,2005-06-27,,2005-06-24,1.0,0.0,5,ADSK | CIEN | DYN | GLW | PTC,ADSK:0.2000000000 | CIEN:0.2000000000 | DYN:0.2000000000 | GLW:0.2000000000 | PTC:0.2000000000,2005-06-30,449
2005,27,2005-07-05,2005-07-08,2005-07-05,,2005-07-01,1.0,0.0,5,ADSK | CIEN | GLW | LSI | PTC,ADSK:0.2000000000 | CIEN:0.2000000000 | GLW:0.2000000000 | LSI:0.2000000000 | PTC:0.2000000000,2005-07-08,449
2005,28,2005-07-11,2005-07-15,2005-07-12,,2005-07-11,1.0,0.0,5,ADCT | CIEN | GLW | LSI | PTC,ADCT:0.2000000000 | CIEN:0.2000000000 | GLW:0.2000000000 | LSI:0.2000000000 | PTC:0.2000000000,2005-07-11,449
2005,29,2005-07-18,2005-07-22,2005-07-19,,2005-07-18,1.0,0.0,5,ADCT | CIEN | GLW | LSI | PTC,ADCT:0.2000000000 | CIEN:0.2000000000 | GLW:0.2000000000 | LSI:0.2000000000 | PTC:0.2000000000,2005-07-22,449
2005,30,2005-07-25,2005-07-29,2005-07-26,,2005-07-25,1.0,0.0,5,ADCT | GLW | LSI | MYG | PTC,ADCT:0.2000000000 | GLW:0.2000000000 | LSI:0.2000000000 | MYG:0.2000000000 | PTC:0.2000000000,2005-07-29,448
2005,31,2005-08-01,2005-08-05,2005-08-02,,2005-08-01,1.0,0.0,5,ADCT | DYN | LSI | MYG | PTC,ADCT:0.2000000000 | DYN:0.2000000000 | LSI:0.2000000000 | MYG:0.2000000000 | PTC:0.2000000000,2005-07-29,448
2005,32,2005-08-08,2005-08-12,2005-08-09,,2005-08-08,1.0,0.0,5,ADCT | LSI | MYG | PTC | SANM,ADCT:0.2000000000 | LSI:0.2000000000 | MYG:0.2000000000 | PTC:0.2000000000 | SANM:0.2000000000,2005-08-12,448
2005,33,2005-08-15,2005-08-19,2005-08-16,,2005-08-15,1.0,0.0,5,ADCT | LB | LSI | MYG | PTC,ADCT:0.2000000000 | LB:0.2000000000 | LSI:0.2000000000 | MYG:0.2000000000 | PTC:0.2000000000,2005-08-19,449
2005,34,2005-08-22,2005-08-26,2005-08-23,,2005-08-22,1.0,0.0,5,ADCT | ATI | LB | LSI | PTC,ADCT:0.2000000000 | ATI:0.2000000000 | LB:0.2000000000 | LSI:0.2000000000 | PTC:0.2000000000,2005-08-22,449
2005,35,2005-08-29,2005-09-02,2005-08-30,,2005-08-29,1.0,0.0,5,ADCT | ATI | BBY | LB | LSI,ADCT:0.2000000000 | ATI:0.2000000000 | BBY:0.2000000000 | LB:0.2000000000 | LSI:0.2000000000,2005-09-01,449
2005,36,2005-09-06,2005-09-09,2005-09-07,,2005-09-06,1.0,0.0,5,ADCT | ATI | LB | LSI | RBK,ADCT:0.2000000000 | ATI:0.2000000000 | LB:0.2000000000 | LSI:0.2000000000 | RBK:0.2000000000,2005-09-08,449
2005,37,2005-09-12,2005-09-16,2005-09-14,,2005-09-13,1.0,0.0,5,ATI | KG | RBK | RHI | VLO,ATI:0.2000000000 | KG:0.2000000000 | RBK:0.2000000000 | RHI:0.2000000000 | VLO:0.2000000000,2005-09-08,449
2005,38,2005-09-19,2005-09-23,2005-09-21,,2005-09-20,1.0,0.0,5,ATI | AV | KG | RBK | RHI,ATI:0.2000000000 | AV:0.2000000000 | KG:0.2000000000 | RBK:0.2000000000 | RHI:0.2000000000,2005-09-20,449
2005,39,2005-09-26,2005-09-30,2005-09-28,,2005-09-27,1.0,0.0,5,ATI | AV | KG | RBK | RHI,ATI:0.2000000000 | AV:0.2000000000 | KG:0.2000000000 | RBK:0.2000000000 | RHI:0.2000000000,2005-09-28,449
2005,40,2005-10-03,2005-10-07,2005-10-05,,2005-10-04,1.0,0.0,5,AV | KG | RBK | RHI | TER,AV:0.2000000000 | KG:0.2000000000 | RBK:0.2000000000 | RHI:0.2000000000 | TER:0.2000000000,2005-10-05,449
2005,41,2005-10-10,2005-10-14,2005-10-12,,2005-10-11,1.0,0.0,5,AAPL | KG | RBK | TER | VLO,AAPL:0.2000000000 | KG:0.2000000000 | RBK:0.2000000000 | TER:0.2000000000 | VLO:0.2000000000,2005-10-14,450
2005,42,2005-10-17,2005-10-21,2005-10-19,,2005-10-18,1.0,0.0,5,BR | KG | NOV | RBK | VLO,BR:0.2000000000 | KG:0.2000000000 | NOV:0.2000000000 | RBK:0.2000000000 | VLO:0.2000000000,2005-10-18,450
2005,43,2005-10-24,2005-10-28,2005-10-26,,2005-10-25,1.0,0.0,5,BR | KG | NOV | RBK | VLO,BR:0.2000000000 | KG:0.2000000000 | NOV:0.2000000000 | RBK:0.2000000000 | VLO:0.2000000000,2005-10-28,450
2005,44,2005-10-31,2005-11-04,2005-11-02,,2005-11-01,1.0,0.0,5,BR | EOG | KG | TXU | VLO,BR:0.2000000000 | EOG:0.2000000000 | KG:0.2000000000 | TXU:0.2000000000 | VLO:0.2000000000,2005-11-04,450
2005,45,2005-11-07,2005-11-11,2005-11-09,,2005-11-08,1.0,0.0,5,CIEN | CVH | KG | NOVL | VLO,CIEN:0.2000000000 | CVH:0.2000000000 | KG:0.2000000000 | NOVL:0.2000000000 | VLO:0.2000000000,2005-11-07,450
2005,46,2005-11-14,2005-11-18,2005-11-16,,2005-11-15,1.0,0.0,5,CIEN | CVH | NOVL | SUN | VLO,CIEN:0.2000000000 | CVH:0.2000000000 | NOVL:0.2000000000 | SUN:0.2000000000 | VLO:0.2000000000,2005-11-17,450
2005,47,2005-11-21,2005-11-25,2005-11-23,,2005-11-22,1.0,0.0,5,AAPL | CHIR | CIEN | NOVL | PD,AAPL:0.2000000000 | CHIR:0.2000000000 | CIEN:0.2000000000 | NOVL:0.2000000000 | PD:0.2000000000,2005-11-25,450
2005,48,2005-11-28,2005-12-02,2005-12-01,,2005-11-30,1.0,0.0,5,AAPL | ABS | ADBE | CHIR | ESRX,AAPL:0.2000000000 | ABS:0.2000000000 | ADBE:0.2000000000 | CHIR:0.2000000000 | ESRX:0.2000000000,2005-12-02,452
2005,49,2005-12-05,2005-12-09,2005-12-08,,2005-12-07,1.0,0.0,5,AAPL | ADBE | CIEN | ESRX | GTW,AAPL:0.2000000000 | ADBE:0.2000000000 | CIEN:0.2000000000 | ESRX:0.2000000000 | GTW:0.2000000000,2005-12-08,452
2005,50,2005-12-12,2005-12-16,2005-12-15,,2005-12-14,1.0,0.0,5,AAPL | ADBE | CIEN | ESRX | GTW,AAPL:0.2000000000 | ADBE:0.2000000000 | CIEN:0.2000000000 | ESRX:0.2000000000 | GTW:0.2000000000,2005-12-16,452
2005,51,2005-12-19,2005-12-23,2005-12-22,,2005-12-21,1.0,0.0,5,AAPL | AV | CIEN | ESRX | PTC,AAPL:0.2000000000 | AV:0.2000000000 | CIEN:0.2000000000 | ESRX:0.2000000000 | PTC:0.2000000000,2005-12-21,452
2005,52,2005-12-27,2005-12-30,2005-12-30,,2005-12-29,1.0,0.0,5,AAPL | AV | ESRX | NTAP | PTC,AAPL:0.2000000000 | AV:0.2000000000 | ESRX:0.2000000000 | NTAP:0.2000000000 | PTC:0.2000000000,2005-12-29,452
